conceptType,conceptUri,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
Occupation,http://data.europa.eu/esco/occupation/01ffb917-98dc-48c1-91ad-93c4104e791d,ingénieur en biotechnologies de la santé/ingénieure en biotechnologies de la santé,released,ingénieure en biotechnologies de la santé | ingénieur en biotechnologies de la santé,"Les ingénieurs en biotechnologies de la santé/ingénieures en biotechnologies de la santé associent la connaissance des principes d’ingénierie et celle des conclusions biologiques pour le développement de traitements médicaux, de médicaments et de soins de santé en général. Ils/elles peuvent développer des solutions allant de l’amélioration des composants dans les médicaments conventionnels au développement des implants et au traitement des tissus.",http://data.europa.eu/esco/occupation/f9433fdb-dde1-46cf-9e91-b49d243946a7,ingénieur en biotechnologie/ingénieure en biotechnologie
Occupation,http://data.europa.eu/esco/occupation/0611f232-b30e-46c7-9c26-2d59b1448e79,criminologue,released,,L’étude des criminologues se rapportant à des humains tels que les aspects sociaux et psychologiques qui pourraient les conduire à commettre des actes criminels. Ils observent et analysent différents facteurs allant des conditions comportementales jusqu’au milieu social et à l’environnement des suspects afin de conseiller les organismes sur la prévention de la criminalité.,http://data.europa.eu/esco/isco/C2632,"Sociologues, anthropologues et assimilés"
Occupation,http://data.europa.eu/esco/occupation/0959cd1d-f6c8-4362-939a-ad7d5f75d659,enseignant-chercheur en économie/enseignante-chercheuse en économie,released,enseignante-chercheuse en économie | enseignant-chercheur en économie,"Les enseignants-chercheurs en économie/enseignantes-chercheuses en économie sont des professeurs, professeurs assistants, enseignants, maîtres de conférences, maîtres de conférences assistants, mentors qui dispensent des cours aux étudiants dans leur domaine de spécialisation, à savoir l’économie. Ils/elles élaborent des programmes, préparent les cours (conférences, travaux dirigés, séminaires, formations, etc.), contrôlent les résultats de l’apprentissage, supervisent le parcours pédagogique des étudiants. Ils/elles dirigent des recherches universitaires dans leur domaine, l’économie, et présentent leurs conclusions dans le cadre de conférences et de publications. Ils/elles participent à certaines fonctions de gestion universitaire.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,enseignant-chercheur/enseignante-chercheuse
Occupation,http://data.europa.eu/esco/occupation/0bf5d25a-2b4d-43b5-b053-beeb210fa43a,enseignant-chercheur en médecine/enseignante-chercheuse en médecine,released,enseignant-chercheur en médecine et santé au travail | enseignant-chercheur en médecine et santé au travail/enseignante-chercheuse en médecine et santé au travail | enseignant-chercheur en médecine générale | enseignante-chercheuse en médecine | enseignant-chercheur en médecine | enseignante-chercheuse en médecine et santé au travail | enseignante-chercheuse en médecine générale | enseignant-chercheur en médecine générale/enseignante-chercheuse en médecine générale,"Les enseignants-chercheurs en médecine/enseignantes-chercheuses en médecine sont des professeurs, enseignants, ou maîtres de conférences et souvent des docteurs qui dispensent des cours aux étudiants titulaires d’un diplôme de l’enseignement secondaire supérieur dans leur propre domaine d’études spécialisé, la médecine, qui revêt essentiellement un caractère théorique. Avec leurs assistants de recherche universitaire et leurs assistants d’enseignement universitaire, ils/elles préparent les conférences et les examens, notent les communications et les examens, animent les pratiques de laboratoire, ainsi que les sessions de suivi et de retour d’informations à l’intention des étudiants. Ils/elles mènent également des recherches universitaires dans leur domaine respectif, la médecine, publient leurs conclusions et se concertent avec d’autres collègues universitaires.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,enseignant-chercheur/enseignante-chercheuse
Occupation,http://data.europa.eu/esco/occupation/0c7c9606-fde3-4658-8136-8fe0c9b8bd09,ingénieur biomédical/ingénieure biomédicale,released,ingénieur biomédical | ingénieure biomédicale,"Les ingénieurs biomédicaux/ingénieures biomédicales conçoivent et développent des systèmes, des installations et des équipements médico-techniques tels que des stimulateurs cardiaques, des appareils d’IRM et des appareils à rayons X. Ils/elles contrôlent l’ensemble du processus de fabrication, depuis la conception jusqu’à la mise en œuvre du produit. Les activités entreprises comprennent notamment la conception d’améliorations des produits, l’élaboration de méthodes et de techniques permettant d’évaluer l’adéquation de la conception, la coordination de la production initiale, l’élaboration de procédures d’essai et la conception de schémas de fabrication.",http://data.europa.eu/esco/occupation/4d34a9ee-2653-4da0-bef7-f59294577224,ingénieur électronicien/ingénieure électronicienne
Occupation,http://data.europa.eu/esco/occupation/0cd729a6-ed11-4338-ac4b-d4b924390128,historien/historienne,released,historien d'art | historien d'art/historienne d'art | historienne | historienne d'art | historien,"Les historiens de la recherche, de l’analyse, de l’interprétation et de la présentation du passé des sociétés humaines. Ils analysent les documents, les sources et les traces du passé afin de comprendre les sociétés passées.",http://data.europa.eu/esco/isco/C2633,"Philosophes, historiens et spécialistes des sciences politiques"
Occupation,http://data.europa.eu/esco/occupation/0d93706d-32fd-4de3-aa08-be1003e325da,chimiste,released,chimiste de la recherche scientifique,Les chimistes réalisent des recherches en laboratoire en testant et en analysant la structure chimique des substances. Ils/elles traduisent les résultats de recherche en processus de production industrielle qui sont ensuite utilisés dans le développement ou l’amélioration de produits. Les chimistes testent également la qualité des produits manufacturés et leur impact sur l’environnement.,http://data.europa.eu/esco/isco/C2113,Chimistes
Occupation,http://data.europa.eu/esco/occupation/10291962-c0c7-4e5b-a7ed-0762b4d9b010,pharmacologue,released,pharmacologiste | pharmacologue de l’industrie,"Les pharmacologues étudient la manière dont les médicaments interagissent avec les organismes, les systèmes vivants et leurs éléments (c’est-à-dire les cellules, tissus ou organes). Leurs recherches visent à identifier des substances qui peuvent être ingérées par les êtres humains et qui exercent des fonctions biochimiques adéquates pour guérir des maladies.",http://data.europa.eu/esco/isco/C2131,"Biologistes, botanistes, zoologistes et assimilés"
Occupation,http://data.europa.eu/esco/occupation/116b4c55-5bd0-41e9-9227-98d7ecffeaf6,enseignant-chercheur en sociologie/enseignante-chercheuse en sociologie,released,enseignante-chercheuse en sociologie | enseignant-chercheur en sociologie,"Les enseignants-chercheurs en sociologie/enseignantes-chercheuses en sociologie sont des professeurs, enseignants ou maîtres de conférences qui dispensent des cours aux étudiants titulaires d’un diplôme de l’enseignement secondaire supérieur dans leur propre domaine d’études spécialisé, la sociologie, qui revêt essentiellement un caractère théorique. Avec leurs assistants de recherche universitaire et leurs assistants d’enseignement universitaire, ils/elles préparent les conférences et des examens, notent les communications et les examens, animent les sessions de suivi et de retour d’informations à l’intention des étudiants. Ils/elles mènent également des recherches universitaires dans leur domaine, la sociologie, publient leurs conclusions et se concertent avec d’autres collègues universitaires.",http://data.europa.eu/esco/occupation/684fd8d5-9b40-4b02-a680-438f0082d923,enseignant-chercheur/enseignante-chercheuse
Occupation,http://data.europa.eu/esco/occupation/11a6d0f6-e692-4774-aa5f-193b67d31022,kinésiologue,released,intervenant en kinésiologie/intervenante en kinésiologie | intervenante en kinésiologie | intervenant en kinésiologie,"Les kinésiologues étudient et réalisent des recherches sur les mouvements du corps, ses muscles et parties. Ils/elles analysent et utilisent des données et méthodes scientifiques pour améliorer le mouvement corporel, généralement chez l’être humain, grâce à la compréhension de domaines comme la physiologie, la cinétique, la neurologie et la biologie. Ils/elles reconnaissent les effets que certains facteurs, tels que la condition corporelle, ont sur le mouvement et mettent au point des solutions pour améliorer la mécanique et la mobilité globales.",http://data.europa.eu/esco/isco/C2269,Spécialistes de la santé non classés ailleurs
