conceptType,conceptUri,skillType,reuseLevel,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/001115fb-569f-4ee6-8381-c6807ef2527f,skill/competence,transversal,faire preuve d’initiative,released,,"Être proactif et prendre les premières mesures d’une action sans attendre de savoir ce que les autres disent ou font.
  ",http://data.europa.eu/esco/skill/91860993-1a8b-4473-91f3-600aa1924bd0,adopter une approche proactive
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0171653e-c8e9-4c24-bb86-a4b6fe038f25,skill/competence,transversal,adopter des stratégies de promotion de la biodiversité et du bien-être animal,released,,"Adopter des comportements qui contribuent au maintien d’écosystèmes stables et à la lutte contre l’extinction de masse, par exemple en faisant des choix alimentaires conscients qui soutiennent la production alimentaire biologique et le bien-être animal.
  ",http://data.europa.eu/esco/skill/80cf002a-6586-4db7-9c9a-88325a9a5e1b,mettre en application des aptitudes et des compétences liées à l’environnement
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/045f71e6-0699-4169-8a54-9c6b96f3174d,skill/competence,transversal,conseiller d’autres personnes,released,guider les autres | donner des conseils,"Proposer des suggestions sur la meilleure ligne de conduite à adopter.
  ",http://data.europa.eu/esco/skill/82463bb1-85d1-4e99-a4ce-08508fc3b2a3,aider d’autres personnes
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/05aa7c09-46e7-433f-a81b-92841f4551e7,skill/competence,cross-sector,accepter les critiques et les directives,released,,"Accepter les avis négatifs des autres et réagir ouvertement aux critiques, en essayant de définir les points susceptibles d’être améliorés.
  ",http://data.europa.eu/esco/skill/f5c9eef3-0495-4747-9519-d71a58d252bd,démontrer une volonté d’apprendre
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0b709c64-a57a-4976-86bd-34d2cf34fa4f,skill/competence,transversal,"mettre en application des connaissances dans les domaines de la philosophie, de l’éthique et de la religion",released,,"Découvrir et développer un point de vue individuel sur son propre rôle et le sens et la finalité de sa vie, y compris sur ce que signifie vivre, mourir et être humain.
  ",http://data.europa.eu/esco/skill/44ff6716-7d71-4a16-821b-61d10e9e290d,mettre en application des connaissances générales
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0d75a128-bd88-4c1b-b70d-8e963aeb490c,skill/competence,transversal,adopter des stratégies de réduction de la pollution,released,,"Appliquer des mesures visant à réduire la pollution de l’air, la pollution sonore et lumineuse, la pollution de l’eau et la pollution de l’environnement, par exemple en utilisant les transports publics, en ne laissant aucun déchet dans l’environnement naturel et en réduisant les émissions inutiles de lumière et de bruit, en particulier la nuit.
  ",http://data.europa.eu/esco/skill/80cf002a-6586-4db7-9c9a-88325a9a5e1b,mettre en application des aptitudes et des compétences liées à l’environnement
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/113b4428-0a31-4199-8496-070af7854b91,skill/competence,transversal,respecter ses engagements,released,tenir ses promesses,"Effectuer ses tâches de manière disciplinée, fiable et axée sur les objectifs.",http://data.europa.eu/esco/skill/14c41899-0224-4cbc-bd8c-e946ada2da87,travailler de manière efficace
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/13b4a3d2-abdf-4442-8e52-d7464a58ecbc,skill/competence,transversal,s’adapter aux exigences physiques,released,,"Démontrer sa capacité à subir un stress physique élevé lié au travail ou au sport, par exemple en s’accroupissant, en restant debout ou en courant pendant une longue période, ou en travaillant dans des conditions météorologiques difficiles telles que la chaleur, le froid et la pluie.
  ",http://data.europa.eu/esco/skill/e52389a2-1a05-45b0-8db3-4bda0f0c0b48,réagir en fonction des circonstances physiques
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/199f7919-5114-41b6-b6a5-41e0e4896ec1,skill/competence,transversal,assumer des responsabilités,released,,"Accepter la responsabilité et l’obligation de rendre compte de ses propres décisions et actions professionnelles, ou de celles déléguées à d’autres personnes.
  ",http://data.europa.eu/esco/skill/91860993-1a8b-4473-91f3-600aa1924bd0,adopter une approche proactive
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/19a64e91-bfe3-4c48-9225-3bb1229b12f0,skill/competence,transversal,faire preuve de détermination,released,,"Faire preuve d’engagement à faire quelque chose qui est difficile et qui exige beaucoup de travail. Faire preuve d’enthousiasme et d’intérêt envers le travail à accomplir, en l’absence de pressions extérieures.
  ",http://data.europa.eu/esco/skill/91860993-1a8b-4473-91f3-600aa1924bd0,adopter une approche proactive
