conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/14832d87-2f2f-4895-b290-e4760ebae42a,résoudre des problèmes techniques,released,skill/competence,cross-sector," ",Identifier des problèmes techniques lors de l’utilisation des dispositifs et d’environnements numériques et les résoudre (du dépannage à la résolution de problèmes plus complexes).,http://data.europa.eu/esco/skill/a628d2d1-f40a-4c37-a357-2801726f2996 | http://data.europa.eu/esco/skill/0b9968af-72de-470a-98e1-2d19577443fb | http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91,détecter les problèmes | résoudre des problèmes informatiques | résolution des problèmes à l'aide d'outils et de matériel TIC
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/16a00c69-9c74-4c37-96d7-6301d285e5ce,s’engager dans des actions citoyennes au moyen de technologies numériques,released,skill/competence,cross-sector," ",S’engager dans des actions citoyennes par le biais de services numériques publics et privés. Rechercher des possibilités d’autonomisation et de citoyenneté participative au moyen des technologies numériques appropriées.,http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec | http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143,utiliser des outils numériques de collaboration et de productivité | communication et collaboration numériques
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1a4cc54f-1e53-442b-a6d2-1682dc8ef8f9,utiliser des technologies numériques de façon créative,released,skill/competence,cross-sector," ",Utiliser des outils et des technologies numériques pour créer des connaissances et développer des processus et des produits innovants. S’engager individuellement et collectivement en matière de traitement cognitif pour comprendre et résoudre les problèmes conceptuels et les situations problématiques dans des environnements numériques.,http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec | http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91,utiliser des outils numériques de collaboration et de productivité | résolution des problèmes à l'aide d'outils et de matériel TIC
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/1d6c7de4-350e-4868-a47b-333b4b0d9650,"évaluer des données, des informations et des contenus numériques",released,skill/competence,cross-sector," ","Analyser, comparer et évaluer d’un œil critique la crédibilité et la fiabilité des sources de données, d’informations et de contenus numériques. Analyser, interpréter et évaluer de manière critique les données, les informations et les contenus numériques.",http://data.europa.eu/esco/skill/629685b8-5f9e-4522-8cff-b3e2c4ec625a | http://data.europa.eu/esco/skill/1f2950c0-ef1e-44b4-9a55-125ccd7b78af,traitement de données numériques | analyser et évaluer des informations et des données
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97,programmation informatique,released,knowledge,cross-sector," ","Les techniques et les principes du développement de logiciels, tels que l’analyse, les algorithmes, le codage, les tests et la compilation des modèles de programmation (programmation orientée objet ou programmation fonctionnelle, par exemple) et des langages de programmation.",http://data.europa.eu/esco/skill/f5369f2f-e52b-43d8-8d31-79a6c11188d8 | http://data.europa.eu/esco/isced-f/0613,création de contenus numériques | développement et analyse de logiciels et d’applications
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/238343b1-7b51-42b3-a9ed-cf24d3a236e7,identifier les déficits de compétences numériques,released,skill/competence,cross-sector," ",Comprendre où il convient d’améliorer ou de mettre à jour ses propres compétences numériques. Être en mesure de soutenir les autres dans le développement de leurs compétences numériques. Rechercher des possibilités de développement personnel et se tenir informé des évolutions numériques.,http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91 | http://data.europa.eu/esco/skill/54f7432d-a8b6-4ed4-a50e-9ec882320595,"résolution des problèmes à l'aide d'outils et de matériel TIC | surveiller, inspecter et tester"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2b34a99f-9813-4c91-9509-b6b9b8c3132e,mener des collaborations au moyen de technologies numériques,released,skill/competence,cross-sector," ","Utiliser les outils et technologies numériques pour les processus collaboratifs, et pour la co-élaboration et la co-création de ressources et de connaissances.",http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec | http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143,utiliser des outils numériques de collaboration et de productivité | communication et collaboration numériques
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/33a82b83-c838-4889-ae62-fae1317481eb,protéger des données à caractère personnel et la vie privée,released,skill/competence,cross-sector," ","Protéger les données à caractère personnel et la vie privée dans les environnements numériques. Comprendre comment utiliser et partager des renseignements personnels tout en étant capable de se protéger, et de protéger autrui, contre les atteintes. Comprendre que les services numériques utilisent une «politique en matière de protection de la vie privée» pour expliquer comment les données à caractère personnel sont utilisées.",http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2 | http://data.europa.eu/esco/skill/2b6e15f5-dfa0-4e7c-9687-5665b07e56a4,sécurité des TIC | protéger la vie privée et les données à caractère personnel
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/40001d93-8937-4859-89d5-2dca53290ff4,participer à des échanges au moyen de technologies numériques,released,skill/competence,cross-sector," ","Partager des données, des informations et du contenu numérique avec d’autres au moyen des technologies numériques appropriées. Agir en tant qu’intermédiaire, connaître les pratiques de référencement et d’attribution.",http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec | http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143,utiliser des outils numériques de collaboration et de productivité | communication et collaboration numériques
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/426ceaba-6867-481c-bb6b-aee3933da7d2,sécurité des TIC,released," "," ",sécurité des technologies de l'information et de la communication,"Protection des personnes, protection des données, protection de l’identité numérique, mesures de sécurité, utilisation sûre et durable.",http://data.europa.eu/esco/skill/185c56ee-098f-46a1-af87-56337085da6f,protéger des dispositifs tic
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/42fcf80d-7b45-40f3-bd2f-5411c4c0dfa0,identifier les besoins technologiques,released,skill/competence,cross-sector," ","Analyser les besoins et recenser les outils numériques et les solutions technologiques permettant d’y répondre. Ajuster et adapter les environnements numériques aux besoins personnels (par exemple, l’accessibilité).
   ",http://data.europa.eu/esco/skill/aca5081a-ceb0-4028-9cc5-1daafd4f86f9 | http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91,mettre au point des solutions | résolution des problèmes à l'aide d'outils et de matériel TIC
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/4d97e3c3-f335-47cc-a4ee-0d779fd42222,"gérer des données, des informations et des contenus numériques",released,skill/competence,cross-sector," ","Organiser, stocker et récupérer des données, des informations et des contenus dans des environnements numériques. Les organiser et les traiter dans un environnement structuré.",http://data.europa.eu/esco/skill/32c017fd-28ab-4051-bf68-74de952c2f77 | http://data.europa.eu/esco/skill/629685b8-5f9e-4522-8cff-b3e2c4ec625a,gérer des informations | traitement de données numériques
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143,communication et collaboration numériques,released," "," "," ","Communiquer dans des environnements numériques, partager les ressources au moyen d’outils en ligne, établir un lien avec d’autres et collaborer au moyen d’outils numériques; interagir avec les communautés et les réseaux et y participer; sensibilisation à la dimension interculturelle.",http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,utiliser des outils numériques de collaboration et de productivité
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5af49836-2269-46d9-87b9-0d3140c6c22e,intégrer et ré-élaborer des contenus numériques,released,skill/competence,cross-sector," ","Modifier, affiner, améliorer et intégrer les informations et le contenu dans un ensemble de connaissances existant afin de créer un contenu et des connaissances nouveaux, originaux et pertinents.",http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec | http://data.europa.eu/esco/skill/f5369f2f-e52b-43d8-8d31-79a6c11188d8,utiliser des outils numériques de collaboration et de productivité | création de contenus numériques
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/5fd5c985-eaaa-47aa-8314-62359c54505a,élaborer des contenus numériques,released,skill/competence,cross-sector," ","Créer et éditer des contenus numériques sous différents formats, s’exprimer par des moyens numériques.",http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec | http://data.europa.eu/esco/skill/f5369f2f-e52b-43d8-8d31-79a6c11188d8,utiliser des outils numériques de collaboration et de productivité | création de contenus numériques
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/629685b8-5f9e-4522-8cff-b3e2c4ec625a,traitement de données numériques,released," "," "," ","Déterminer, localiser, rechercher, stocker, organiser et analyser les informations numériques, en en mesurant la pertinence et la finalité.",http://data.europa.eu/esco/skill/4d6a48ae-352e-4823-bc3a-3f3e9e2cae86,accéder à des données numériques et les analyser
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/7e5147d1-60b1-4a68-804b-1f5cb0396b91,résolution des problèmes à l'aide d'outils et de matériel TIC,released," "," "," ","Déterminer les besoins et les ressources numériques, prendre des décisions en connaissance de cause sur les outils numériques les plus appropriés en fonction de la finalité ou des besoins, résoudre les problèmes conceptuels par des moyens numériques, utiliser les technologies de manière créative, résoudre les problèmes techniques, mettre à jour ses propres compétences et celles d’autres personnes.",http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,utiliser des outils numériques de collaboration et de productivité
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/97c1895a-a890-47da-abfc-79dc272add2e,utiliser les conventions en ligne de la nétiquette,released,skill/competence,cross-sector," ",Appliquer des normes et un savoir-faire en matière de comportement dans le cadre de l’usage des technologies numériques et de l’interaction dans des environnements numériques. Adapter les stratégies de communication au public spécifique et tenir compte de la diversité culturelle et générationnelle dans les environnements numériques.,http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143,communication et collaboration numériques
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/a12057b4-6d11-4a12-ab8e-15a028ef0a6d,interagir au moyen de technologies numériques,released,skill/competence,cross-sector," ",Interagir au moyen d’une série de technologies numériques et comprendre des moyens de communication numériques appropriés dans un contexte donné.,http://data.europa.eu/esco/skill/574257ea-7b64-4100-b7b6-e27c233fe143 | http://data.europa.eu/esco/skill/98fb499f-9155-412d-a8a0-95ba97126fec,communication et collaboration numériques | utiliser des outils numériques de collaboration et de productivité
