conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/000f1d3d-220f-4789-9c0a-cc742521fb02,Haskell,released,knowledge,sector-specific,,"Les techniques et les principes du développement de logiciels, tels que l’analyse, les algorithmes, le codage, les essais et la compilation des paradigmes de programmation en Haskell.",http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97 | http://data.europa.eu/esco/isced-f/0613,programmation informatique | développement et analyse de logiciels et d’applications
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00c04e40-35ea-4ed1-824c-82f936c8f876,développement par incréments,released,knowledge,sector-specific,,Le modèle de développement par incréments est une méthode de conception de logiciels et d’applications.,http://data.europa.eu/esco/isced-f/0613 | http://data.europa.eu/esco/skill/bec4359e-cb92-468f-a997-8fb28e32fba9,développement et analyse de logiciels et d’applications | méthodes de gestion de projets TIC
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/013441c1-1f13-47e9-80c4-9a53e8e1bc05,KDevelop,released,knowledge,sector-specific,,"Le programme informatique KDevelop est une suite d’outils de développement de logiciels destinés à l’écriture de programmes (tels qu’un compilateur, un programme de débogage, un éditeur de code et un surligneur), intégrés dans une interface utilisateur unifiée. Il est développé par la communauté logicielle KDE.",http://data.europa.eu/esco/isced-f/0612 | http://data.europa.eu/esco/skill/925463a7-d51f-4d5b-9f79-4d28cf30acde,conception et administration de bases de données et de réseau | environnement de développement intégré
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0189f448-179e-47cc-9716-c5c3ac4b1aec,Absorb (systèmes de gestion de l’apprentissage),released,knowledge,sector-specific,,"Le système d’apprentissage Absorb est une plateforme d’apprentissage en ligne pour créer, administrer et dispenser des cours d’apprentissage en ligne ou des programmes de formation pour les élèves de l’enseignement secondaire.",http://data.europa.eu/esco/skill/6c80d53c-d8c9-41fe-998f-091fca208834 | http://data.europa.eu/esco/isced-f/0612,systèmes de gestion de l’apprentissage | conception et administration de bases de données et de réseau
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/020918ef-4b55-47c1-8430-ab7b8f6a7377,transférer des données existantes,released,skill/competence,sector-specific,,"Appliquer des méthodes de migration et de conversion des données existantes, afin de transférer ou de convertir des données entre formats, systèmes de stockage ou systèmes informatiques.",http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c,"gérer, collecter et stocker des données numériques"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/022dc430-872a-473a-9cf4-fed4895e58ad,définir la structure physique de la base de données,released,skill/competence,sector-specific,bâtir l’architecture d’une base de données | définir la structure de stockage physique de la base de données | constituer la structure physique de la base de données | construire l’architecture d’une base de données | définir la structure logique de la base de données | organiser les données,"Spécifier la configuration physique des fichiers de base de données sur un support donné. Il s’agit de spécifications détaillées des options d’indexation, des types de données et des éléments de données placés dans le dictionnaire de données.",http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c,"gérer, collecter et stocker des données numériques"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/024037ca-96a9-4cb8-ba86-2cd5a209c90a,Maltego,released,knowledge,sector-specific,,"La plateforme Maltego est une application de police scientifique qui utilise l’exploration de données pour fournir une vue d’ensemble de l’environnement des organisations, teste les faiblesses de sécurité du système en cas d’accès potentiellement non autorisé et démontre la complexité des défaillances des infrastructures.",http://data.europa.eu/esco/skill/de586dcf-d7e5-4340-bf5b-d59026f1b436 | http://data.europa.eu/esco/isced-f/0613,outil de test d’intrusion | développement et analyse de logiciels et d’applications
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0256f6b0-f4a9-4c5e-9cfd-96d58a2a70fe,utiliser un équipement radio,released,skill/competence,cross-sector,,"Installer et utiliser des appareils radio et des accessoires, tels que des consoles de diffusion, des amplificateurs et des microphones. Comprendre les bases du langage de l’opérateur radio et, si nécessaire, fournir des instructions afin de manipuler correctement l’équipement radio.",http://data.europa.eu/esco/skill/0a88a13f-693a-4dde-b44c-22e6f98fabc6 | http://data.europa.eu/esco/skill/9bafaea2-76cd-4532-ab77-8b3d21fa6235,exploiter des équipements de communication | coordonner des communications à distance
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/034c29fa-c3ba-45ea-b8f3-bf8e3705e386,Erlang,released,knowledge,sector-specific,,"Techniques et principes de développement de logiciels, tels que l’analyse, les algorithmes, le codage, les essais et la compilation des paradigmes de programmation en Erlang.",http://data.europa.eu/esco/isced-f/0613 | http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97,développement et analyse de logiciels et d’applications | programmation informatique
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/03a74eee-2dc6-4147-8667-5cdeb65f122d,gérer la classification des données sur les TIC,released,skill/competence,sector-specific,,Superviser le système de classification utilisé par une organisation pour organiser ses données. Attribuer un propriétaire à chaque concept ou ensemble de concepts de données et déterminer la valeur de chaque élément de données.,http://data.europa.eu/esco/skill/6a7fc30d-af16-4cc5-a957-29d174bdb61c | http://data.europa.eu/esco/skill/4d85b881-e490-4b4c-897a-2faa4ef53956,"gérer, collecter et stocker des données numériques | gérer l’architecture des données TIC"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/03ff0d53-573a-47a0-a0ad-1995815a4339,structure de l’information,released,knowledge,sector-specific,,"Le type d’infrastructure qui définit le format des données: semi-structuré, non structuré et structuré.",http://data.europa.eu/esco/isced-f/0612,conception et administration de bases de données et de réseau
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/04473991-161d-46db-8684-0d5ed6cb6c66,gérer les réseaux TIC temporaires lors de représentations en direct,released,skill/competence,occupation-specific,,"Gérer la mise en place de réseaux destinés à la diffusion de signaux de commande pour des applications liées à l’événementiel et aux arts du spectacle. Assurer la coordination avec les différents utilisateurs. Définir et mettre en place les équipements, câbles, connexions et dispositifs. Configurer, tester et contrôler les équipements et les performances du réseau. Les signaux de commande incluent, par exemple, les données DMX, RDM, MIDI, Timecode, de suivi et de position, mais aussi les signaux audio, vidéo et de position.
   ",http://data.europa.eu/esco/skill/f839b1da-78b6-4466-86f4-a5798821ea20,mettre en place des systèmes informatiques
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0458f6a0-cb54-4ff5-a543-b2c5354e17c0,se tenir au courant de la transformation numérique de procédés industriels,released,skill/competence,sector-specific,,S’informer des innovations numériques applicables aux procédés industriels. Intégrer ces transformations dans les processus de l’entreprise visant des modèles économiques compétitifs et rentables.,http://data.europa.eu/esco/skill/e2a5e046-3357-493e-bbdc-8d0ef82005cc,suivre l’évolution dans un domaine d’expertise
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/04cf164c-d07d-49cf-a1b3-84bdbd79b5cb,configurer du matériel de bureau,released,skill/competence,occupation-specific,,"Raccorder les équipements de bureau, tels que les modems, les scanners et les imprimantes, au réseau électrique et effectuer la liaison équipotentielle pour éviter les différences dangereuses de potentiel. Vérifier le bon fonctionnement de l’installation. Surveiller les réglages et préparer l’appareil à l’utilisation.",http://data.europa.eu/esco/skill/906211b3-afed-4a2b-b5e1-33f2885fee85,réaliser des tâches de bureau et administratives
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/04f1b938-d4d4-4cb1-a863-982af76b9d93,SAS language,released,knowledge,sector-specific,,"Techniques et principes du développement de logiciels, tels que l’analyse, les algorithmes, le codage, les essais et la compilation des paradigmes de programmation en langage SAS.",http://data.europa.eu/esco/isced-f/0613 | http://data.europa.eu/esco/skill/21d2f96d-35f7-4e3f-9745-c533d2dd6e97 | http://data.europa.eu/esco/skill/ad59afe4-6f8a-4bc4-acfd-0f228277508a,développement et analyse de logiciels et d’applications | programmation informatique | logiciel de système d'analyse statistique
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/04fe962b-4017-4eb7-9139-7d69b6922bc9,utiliser une interface spécifique à une application,released,skill/competence,sector-specific,,Comprendre et utiliser les interfaces propres à une application ou à un cas d’utilisation.,http://data.europa.eu/esco/skill/39499028-35bf-4d69-9275-fb98902ed88b,travailler avec des ordinateurs
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/05010f6c-0b40-4525-ac4a-057d46a2b6f4,concevoir des systèmes électriques,released,skill/competence,cross-sector,,"Faire des croquis et concevoir des systèmes, des produits et des composants électriques à l’aide de logiciels et d’équipements de conception assistée par ordinateur (CAO). Dessiner les plans de disposition des panneaux, les schémas électriques, les schémas de câblage électrique et d’autres détails d’assemblage.",http://data.europa.eu/esco/skill/39fa260c-4f85-48e3-83ce-e292e696c233,concevoir des systèmes ou équipements électriques ou électroniques
