conceptType,conceptUri,preferredLabel,status,skillType,reuseLevel,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/001d46db-035e-4b92-83a3-ed8771e0c123,former le personnel à la réduction des déchets alimentaires,released,skill/competence,sector-specific," ","Mettre en place de nouvelles formations et des dispositions liées à la formation professionnelle pour renforcer les connaissances du personnel sur la prévention du gaspillage alimentaire et les pratiques de recyclage des denrées alimentaires. Veiller à ce que le personnel comprenne les méthodes et outils de recyclage des denrées alimentaires, par exemple le tri des déchets.
	",http://data.europa.eu/esco/skill/6c4fa8c8-e9e1-49b5-897f-6b61fe649488,former aux procédures opérationnelles
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0037c821-2898-4919-b96e-7ed1cd89554c,élaborer des concepts d’économie d’énergie,released,skill/competence,cross-sector," ","Utiliser les résultats des recherches en cours et collaborer avec des experts pour optimiser ou développer des concepts, des équipements et des procédés de production qui nécessitent moins d’énergie, tels que de nouvelles pratiques d’isolation et de nouveaux matériaux.",http://data.europa.eu/esco/skill/c23e0a2f-f04b-45bc-b0dd-20571f6b502c | http://data.europa.eu/esco/skill/c2a0c52c-0b4b-4180-a918-92650ea3b458,élaborer des politiques et procédures opérationnelles | penser de manière innovante
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0058526a-11e9-40a1-ab33-7c5ffdf5da05,mener des recherches sur la flore,released,skill/competence,sector-specific," ","Recueillir et analyser des données sur les plantes afin de découvrir leurs aspects fondamentaux, tels que l’origine, l’anatomie et la fonction.",http://data.europa.eu/esco/skill/ba1f6201-b206-4459-b178-706db34a851d,analyser des données scientifiques et médicales
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/00735755-adc6-4ea0-b034-b8caff339c9f,installer une pompe à chaleur,released,skill/competence,cross-sector," ","Installer des pompes à chaleur, qui utilisent les propriétés physiques de substances appelées frigorigènes pour extraire la chaleur d’un environnement et la libérer dans un environnement plus chaud, à l’encontre du flux de chaleur spontané. Créer les ouvertures nécessaires, et installer les parties intérieures et extérieures de la pompe à chaleur. Brancher l’électricité et les conduits éventuels, et configurer la pompe à chaleur.",http://data.europa.eu/esco/skill/b85caa4a-f04b-4331-80df-11404fd71225,"installer des équipements de chauffage, de ventilation et d’air conditionné"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0082c13b-5866-4542-bc4f-722a4ae9530e,concevoir des installations de biomasse,released,skill/competence,sector-specific," ","Concevoir le système énergétique issu de la biomasse. Déterminer les limites en matière de construction telles que l’espace et le poids nécessaires. Calculer des indicateurs tels que la puissance, le débit et les températures. Réaliser des descriptions et des dessins détaillés du modèle.
	",http://data.europa.eu/esco/skill/39fa260c-4f85-48e3-83ce-e292e696c233,concevoir des systèmes ou équipements électriques ou électroniques
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/013a64b9-5e74-4f7f-af5b-9ec76715238b,inspecter des installations offshore,released,skill/competence,cross-sector," ","Effectuer des inspections régulières pendant et après la construction d’installations offshore, telles que les plateformes pétrolières, afin de garantir la minimisation des risques et le respect des réglementations.",http://data.europa.eu/esco/skill/efbb3d3b-a41c-4e0a-90a8-8e611eb1db9f,"prodiguer des conseils relatifs à des questions juridiques, réglementaires ou procédurales"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0171653e-c8e9-4c24-bb86-a4b6fe038f25,adopter des stratégies de promotion de la biodiversité et du bien-être animal,released,skill/competence,transversal," ","Adopter des comportements qui contribuent au maintien d’écosystèmes stables et à la lutte contre l’extinction de masse, par exemple en faisant des choix alimentaires conscients qui soutiennent la production alimentaire biologique et le bien-être animal.
  ",http://data.europa.eu/esco/skill/80cf002a-6586-4db7-9c9a-88325a9a5e1b,mettre en application des aptitudes et des compétences liées à l’environnement
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01895f13-1989-4756-80d6-9b9ee19ddb32,réaliser une étude de faisabilité sur les systèmes de gestion d’immeubles,released,skill/competence,sector-specific," ","Évaluer et estimer le potentiel d’un système de gestion d’immeubles. Réaliser une étude normalisée pour déterminer la part d’économie d’énergie, les coûts et les limites, et mener des recherches à l’appui du processus décisionnel.
	",http://data.europa.eu/esco/skill/ec528c47-65f4-4187-9dc1-5a8889f84a06 | http://data.europa.eu/esco/skill/d74df140-eb69-43e2-bac9-1cafc824d702,analyser des opérations commerciales | mener une étude de faisabilité
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02619401-8e21-46e5-8f19-204747fd755d,éliminer des matériaux contaminés,released,skill/competence,sector-specific," ",Éliminer les matériaux et équipements contaminés par des substances dangereuses afin de protéger l’environnement de toute contamination ultérieure et de traiter ou d’éliminer les matériaux contaminés.,http://data.europa.eu/esco/skill/8bde58aa-9d5b-422b-801c-ff9186dd648e | http://data.europa.eu/esco/skill/3727f0d3-da1b-4ce3-a9cb-efe6130fe41f,manipuler et éliminer des matériaux dangereux | évaluer une contamination
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02e235f4-a30a-412a-a06e-1c471ad28678,suivre des procédures de contrôle des substances dangereuses pour la santé,released,skill/competence,sector-specific," ","Respecter les procédures de contrôle des substances dangereuses pour la santé (COSHH) pour les activités impliquant des substances dangereuses, comme les bactéries, les allergènes, les huiles usées, les peintures ou les liquides de freins, qui peuvent provoquer des maladies ou des blessures.
	",http://data.europa.eu/esco/skill/8bde58aa-9d5b-422b-801c-ff9186dd648e | http://data.europa.eu/esco/skill/d2d9051a-10e1-41c5-9cfb-bbdc58016176,manipuler et éliminer des matériaux dangereux | respecter les consignes de sécurité dans les pratiques de travail
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/032867c3-3c53-42ad-aabe-030eeb6292ab,mesurer des arbres,released,skill/competence,cross-sector," ","Prendre toutes les mesures pertinentes d’un arbre : utiliser un clinomètre pour mesurer la hauteur, du ruban adhésif pour mesurer la circonférence, et des foreurs incrémentiels et des écorceurs pour estimer le taux de croissance.",http://data.europa.eu/esco/skill/ab75d510-ac75-482d-b671-bb3bad741f07 | http://data.europa.eu/esco/skill/23d7bd85-d8d5-4455-b64d-3b0998f2425d,effectuer des mesures d’ordre professionnel | mesurer des dimensions et des propriétés connexes
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/03d93bf5-3c09-489c-a0d7-a895b068041a,sauver des animaux,released,skill/competence,sector-specific," ",Sauver les animaux trouvés dans des situations présentant une menace immédiate ou potentielle pour leur bien-être.,http://data.europa.eu/esco/skill/e9eb9c23-c1f4-4ce9-83c9-2f6a211cc536,maintenir et mettre en œuvre la sécurité physique
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/04012dd1-478d-4eec-9951-dd623bfe86ca,agriculture climato-intelligente,released,knowledge,sector-specific," ","Une approche intégrée de la gestion du paysage qui vise à accroître la productivité alimentaire, à améliorer la résilience des cultures, à garantir la sécurité alimentaire, à réduire les émissions et à s’adapter au changement climatique.
   ",http://data.europa.eu/esco/isced-f/0811,culture et élevage
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/052b829c-67c5-466f-9300-0e0b001a68ef,préparer des contrats de performance énergétique,released,skill/competence,sector-specific," ","Préparer et examiner les contrats qui décrivent le rendement énergétique tout en s’assurant qu’ils sont conformes aux exigences légales.
	",http://data.europa.eu/esco/skill/7954861c-86d4-4529-afbb-2c23dab9ac74 | http://data.europa.eu/esco/skill/6e62e776-fbfa-486c-a6df-58cd239c86fe,négocier des compromis | faire de l’écriture technique ou académique
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0562cd60-cd92-47c3-bc63-30a55c5ca4fe,examiner des échantillons géochimiques,released,skill/competence,sector-specific," ","Analyser des échantillons de laboratoire à l’aide d’appareils tels que spectromètres, chromatographes en phase gazeuse, microscopes, microsondes et analyseurs de carbone. Déterminer l’âge et les caractéristiques des échantillons environnementaux tels que les minéraux, la roche ou la terre.",http://data.europa.eu/esco/skill/b5a1fc87-c9f2-41f4-a1ae-28e023715592 | http://data.europa.eu/esco/skill/d2e8f452-ac19-4eed-b984-8f55d2a5b763,effectuer des essais sur des échantillons | tester et analyser des substances
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/05e5e14f-ffa6-4106-b311-c6335ccc2bd2,énergie solaire,released,knowledge,cross-sector," ","L’énergie issue de la lumière et de la chaleur du soleil, qui peut être exploitée et utilisée comme source d’énergie renouvelable grâce à l’utilisation de différentes technologies, telles que le photovoltaïque (PV) pour la production d’électricité et l’énergie thermique solaire (ETS) pour la production d’énergie thermique.",http://data.europa.eu/esco/isced-f/0713,électricité et énergie
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0625e737-2b29-4835-ac28-aeec4a8dc0f2,tester des échantillons de production de papier,released,skill/competence,sector-specific," ","Acquérir des échantillons d’essai à différentes étapes du processus de désencrage et de recyclage du papier. Traiter les échantillons, par exemple en ajoutant une quantité mesurée de solution de colorant, et les tester pour déterminer des valeurs telles que le pH, la résistance au déchirement ou le degré de désintégration.",http://data.europa.eu/esco/skill/cd4b9e72-a18d-44bd-b227-14bbdd162dc1 | http://data.europa.eu/esco/skill/d2e8f452-ac19-4eed-b984-8f55d2a5b763,préparer des échantillons pour des essais | tester et analyser des substances
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/062ec888-7fd2-4b1e-860e-4cdcc9503ab3,gérer des permis d’exploitation de terres,released,skill/competence,sector-specific," ",Étudier l’impact potentiel de l’utilisation des ressources terrestres sur l’eau et le milieu aquatique. Faire des recommandations quant à l’approbation ou au rejet des permis à ces fins.,http://data.europa.eu/esco/skill/1bc1cf2a-a7f6-4769-a13b-cc26a2214498,"préparer de la documentation relative aux contrats, aux demandes ou aux permis"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/06a4004d-ee47-44ff-ae2f-a038ba0c0256,réaliser une étude de faisabilité sur l’énergie produite par des petites éoliennes,released,skill/competence,sector-specific," ","Évaluer et estimer le potentiel des systèmes d’énergie produite par des petites éoliennes. Réaliser une étude normalisée pour estimer la demande d’électricité nécessaire du bâtiment, la part d’énergie produite par une petite éolienne par rapport à l’approvisionnement total, et mener des recherches à l’appui du processus décisionnel.
	",http://data.europa.eu/esco/skill/d74df140-eb69-43e2-bac9-1cafc824d702 | http://data.europa.eu/esco/skill/ec528c47-65f4-4187-9dc1-5a8889f84a06,mener une étude de faisabilité | analyser des opérations commerciales
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/072f35a1-98e7-4a6c-9a19-474ace5644da,cultiver des végétaux pour la biomasse,released,skill/competence,sector-specific," ",Cultiver et transformer des végétaux pour la biomasse.,http://data.europa.eu/esco/skill/b7c82b1b-cff9-4641-a62f-e4e28395eade,cultiver des terres et des cultures
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/078e6210-224d-4331-9c8e-f881259b6bb0,usage sûr des pesticides,released,knowledge,sector-specific," ","Précautions et réglementations concernant le transport, le stockage et la manipulation des substances chimiques destinées à exterminer les organismes nuisibles.",http://data.europa.eu/esco/isced-f/0811,culture et élevage
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07c29939-d5fe-4f7f-8546-f1d02fd352db,inspecter les systèmes de silos,released,skill/competence,sector-specific," ",Inspecter les systèmes de silos pour réduire au minimum les émissions nocives pendant leur utilisation.,http://data.europa.eu/esco/skill/8064ae65-5d1b-44e1-9aaf-246a4285a9a6,se conformer aux lois et aux normes en matière de protection de l’environnement
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07ec6866-d283-46a6-991c-e8ce0c6fc159,interpréter des données scientifiques pour évaluer la qualité de l’eau,released,skill/competence,cross-sector," ",Analyser et interpréter des données comme les propriétés biologiques pour connaître la qualité de l’eau.,http://data.europa.eu/esco/skill/1aae38c8-f75a-4009-8aa0-c5fa94b06e6b | http://data.europa.eu/esco/skill/1d6c7de4-350e-4868-a47b-333b4b0d9650 | http://data.europa.eu/esco/skill/36ff57b0-637d-4a83-a0e8-d14f86f9f078 | http://data.europa.eu/esco/skill/ba1f6201-b206-4459-b178-706db34a851d,"gérer des analyses de qualité de l’eau | évaluer des données, des informations et des contenus numériques | analyser des données scientifiques | analyser des données scientifiques et médicales"
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/081d7679-5070-4777-bece-a28c49f15636,politique environnementale,released,knowledge,cross-sector," ","Politiques locales, nationales et internationales concernant la promotion de la durabilité environnementale et le développement de projets destinés à réduire les incidences négatives sur l’environnement et à améliorer l’état de l’environnement.",http://data.europa.eu/esco/isced-f/0521,sciences environnementales
