conceptType,conceptUri,skillType,reuseLevel,preferredLabel,status,altLabels,description,broaderConceptUri,broaderConceptPT
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/01f10952-cb59-4347-9aee-d4fbc51c870a,skill/competence,transversal,écrire en hongrois,released,,Rédiger des textes écrits en hongrois.,http://data.europa.eu/esco/skill/ddd3596a-43f3-402e-960a-5f79362a8609,hongrois
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/02d68c2b-1722-4440-8e25-376650e123c8,skill/competence,transversal,comprendre le coréen écrit,released,,Lire et comprendre des textes écrits en coréen.,http://data.europa.eu/esco/skill/f9bc2890-d1f2-4a83-bd7b-b150a7679c79,Coréen
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/037b5e5f-db3c-40cd-864e-5b9b9a3a080d,skill/competence,transversal,comprendre le hongrois parlé,released,,Comprendre le hongrois à l’oral.,http://data.europa.eu/esco/skill/ddd3596a-43f3-402e-960a-5f79362a8609,hongrois
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/03a53283-d3ee-41c1-ab3e-eb806616440e,skill/competence,transversal,comprendre le gallois parlé,released,,Comprendre le gallois à l’oral.,http://data.europa.eu/esco/skill/8dbd15c6-ecf0-468c-8ae1-f6eb360743dd,gallois
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/047218cf-3974-4148-86f8-31464253aa08,skill/competence,transversal,interagir verbalement en bosniaque,released,s'exprimer oralement en bosnien,Communiquer oralement en bosniaque.,http://data.europa.eu/esco/skill/a9fdd2c9-4295-4407-ba3c-1547cbce40a2,bosnien
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/049b5d37-aab3-4b6a-a505-bf254a434b5d,skill/competence,transversal,comprendre le letton écrit,released,,Lire et comprendre des textes écrits en letton.,http://data.europa.eu/esco/skill/5de39924-769c-4301-82a5-525358dffe50,letton
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/049de1f6-34ec-46f9-a0b1-8fc6f0199413,skill/competence,transversal,écrire en finnois,released,,Rédiger des textes en finnois.,http://data.europa.eu/esco/skill/0e3493f4-0cad-4fbc-8e02-025f169b8114,finnois
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/04bd6e5b-9f81-4c3d-a81f-d7ac2c08dfd9,skill/competence,transversal,comprendre le pendjabi parlé,released,,Comprendre le pendjabi parlé.,http://data.europa.eu/esco/skill/e05b9e06-d298-4646-b762-acbd485a20e9,Pendjabi
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/078a25a4-1ac2-4c83-b0ed-8f8573c4633a,skill/competence,transversal,interagir verbalement en occitan,released,s'exprimer oralement en occitan,Communiquer oralement en occitan.,http://data.europa.eu/esco/skill/57cc6587-7efe-4ba5-982f-ac15ce1617ac,occitan
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0799a646-288c-4fcd-a6fd-d97a41c1bf5b,skill/competence,transversal,interagir verbalement en tchèque,released,s'exprimer oralement en tchèque,Communiquer oralement en tchèque.,http://data.europa.eu/esco/skill/da0795a7-6866-4afc-81ed-5e3aa398f058,tchèque
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/07cacd8e-6aaf-4cab-abeb-28319f454606,skill/competence,transversal,comprendre l’ukrainien écrit,released,,Lire et comprendre des textes écrits en ukrainien.,http://data.europa.eu/esco/skill/354b948c-7eef-4ebc-bfd6-f60d7d5acb62,ukrainien
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/08759658-fffc-4951-bea0-1fb51d06eb89,skill/competence,transversal,comprendre l’espagnol écrit,released,,Lire et comprendre des textes écrits en espagnol.,http://data.europa.eu/esco/skill/14ee9f76-3524-43d5-8a1a-5ba8283f8bd7,espagnol
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/08ee9a78-5eb5-426c-b34e-9ef0e0f88cc5,skill/competence,transversal,comprendre l’arménien écrit,released,,Lire et comprendre des textes écrits en arménien.,http://data.europa.eu/esco/skill/fcbcdf4c-d079-4010-ab4b-8356fbfa5096,Arménien
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0a1e6554-1c6b-42c6-970b-8d9a307cdb5e,skill/competence,transversal,écrire en javanais,released,,Rédiger des textes en javanais.,http://data.europa.eu/esco/skill/7a86907d-1fd5-4e8f-b0f1-f366a14f6f6d,javanais
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0a35de65-e51d-4862-a425-2f4dd5c4a982,skill/competence,transversal,écrire en bosniaque,released,,Rédiger des textes en bosniaque.,http://data.europa.eu/esco/skill/a9fdd2c9-4295-4407-ba3c-1547cbce40a2,bosnien
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/0dc4ee3d-3e51-4765-bc1c-996707beeea1,skill/competence,transversal,comprendre le sarde écrit,released,,Lire et comprendre des textes écrits en sarde.,http://data.europa.eu/esco/skill/1627c1b9-31e1-4742-bf5c-cfec2ce33cfc,sarde
