OCCUPATIONID,RELATIONTYPE,SKILLID
key_15156,essential,key_15086
key_15156,essential,key_1525
key_15156,essential,key_3388
key_15156,essential,key_5177
key_15156,essential,key_6139
key_15156,essential,key_8598
key_15156,essential,key_9361
key_15156,essential,key_14612
key_15157,essential,key_4497
key_15157,essential,key_8234
key_15157,essential,key_8640
key_15157,essential,key_9001
key_15157,essential,key_11163
key_15157,essential,key_3469
key_15157,essential,key_4022
key_15157,essential,key_4094
key_15157,essential,key_4227
key_15157,essential,key_5065
key_15157,essential,key_5090
key_15157,essential,key_7077
key_15157,essential,key_7986
key_15157,essential,key_9935
key_15157,essential,key_13059
key_15157,optional,key_1854
key_15157,optional,key_5094
key_15157,optional,key_6553
key_15157,optional,key_6959
key_15157,optional,key_8427
key_15157,optional,key_11662
key_15157,optional,key_11790
key_15157,optional,key_13732
key_15157,optional,key_14307
key_15157,optional,key_15140
key_15157,optional,key_3478
key_15157,optional,key_4297
key_15157,optional,key_5530
key_15157,optional,key_6052
key_15157,optional,key_6603
key_15157,optional,key_6693
key_15157,optional,key_7723
key_15157,optional,key_8852
key_15157,optional,key_8960
key_15157,optional,key_9089
key_15157,optional,key_9968
key_15157,optional,key_11880
key_15157,optional,key_12394
key_15157,optional,key_13221
key_15158,essential,key_2197
key_15158,essential,key_3307
key_15158,essential,key_3915
key_15158,essential,key_9001
key_15158,essential,key_11011
key_15158,essential,key_2569
key_15158,essential,key_3918
key_15158,essential,key_4094
key_15158,essential,key_4848
key_15158,essential,key_7010
key_15158,essential,key_8589
key_15158,essential,key_9258
key_15158,essential,key_10176
key_15158,essential,key_14230
key_15158,optional,key_1383
key_15158,optional,key_4672
key_15158,optional,key_4814
key_15158,optional,key_5332
key_15158,optional,key_6703
key_15158,optional,key_7079
key_15158,optional,key_8437
key_15158,optional,key_8841
key_15158,optional,key_9479
key_15158,optional,key_9821
key_15158,optional,key_10689
key_15158,optional,key_10964
key_15158,optional,key_11283
key_15158,optional,key_2870
key_15158,optional,key_3385
key_15158,optional,key_4280
key_15158,optional,key_4899
key_15158,optional,key_6824
key_15158,optional,key_8738
key_15158,optional,key_9034
key_15158,optional,key_9618
key_15158,optional,key_10505
key_15158,optional,key_11051
key_15158,optional,key_12068
key_15158,optional,key_12394
key_15158,optional,key_12432
key_15158,optional,key_12969
key_15158,optional,key_14748
key_15158,optional,key_15072
key_15159,essential,key_3349
key_15159,essential,key_5662
key_15159,essential,key_6182
key_15159,essential,key_7883
key_15159,essential,key_9479
key_15159,essential,key_10968
key_15159,essential,key_12019
key_15159,essential,key_12257
key_15159,essential,key_12847
key_15159,essential,key_14645
key_15159,essential,key_5784
key_15159,essential,key_7647
key_15159,essential,key_8631
key_15159,essential,key_11353
key_15159,essential,key_11558
key_15159,optional,key_4143
key_15159,optional,key_4672
key_15159,optional,key_5824
key_15159,optional,key_5977
key_15159,optional,key_7343
key_15159,optional,key_11012
key_15159,optional,key_11250
key_15159,optional,key_1493
key_15159,optional,key_2715
key_15159,optional,key_3264
key_15159,optional,key_3463
key_15159,optional,key_3694
key_15159,optional,key_4737
key_15159,optional,key_5563
key_15159,optional,key_5870
key_15159,optional,key_6371
key_15159,optional,key_7092
key_15159,optional,key_12164
key_15159,optional,key_12524
key_15159,optional,key_12824
key_15159,optional,key_13697
key_15159,optional,key_14646
key_15159,optional,key_14662
key_15159,optional,key_15077
key_15160,essential,key_1716
key_15160,essential,key_2117
key_15160,essential,key_2309
key_15160,essential,key_3617
key_15160,essential,key_4116
key_15160,essential,key_4696
key_15160,essential,key_5129
key_15160,essential,key_5566
key_15160,essential,key_6408
key_15160,essential,key_8087
key_15160,essential,key_8567
key_15160,essential,key_10247
key_15160,essential,key_10289
key_15160,essential,key_10698
key_15160,essential,key_10949
key_15160,essential,key_11325
key_15160,essential,key_11765
key_15160,essential,key_12350
key_15160,essential,key_15055
key_15160,optional,key_1939
key_15160,optional,key_3501
key_15160,optional,key_4067
key_15160,optional,key_7741
key_15160,optional,key_8828
key_15160,optional,key_12020
key_15160,optional,key_13655
key_15161,essential,key_1451
key_15161,essential,key_1883
key_15161,essential,key_5299
key_15161,essential,key_8418
key_15161,essential,key_8509
key_15161,essential,key_1872
key_15161,essential,key_3250
key_15161,essential,key_3802
key_15161,essential,key_3922
key_15161,essential,key_4052
key_15161,essential,key_4211
key_15161,essential,key_4865
key_15161,essential,key_6603
key_15161,essential,key_7249
key_15161,essential,key_7384
key_15161,essential,key_7483
key_15161,essential,key_8369
key_15161,essential,key_8453
key_15161,essential,key_8565
key_15161,essential,key_8818
key_15161,essential,key_9941
key_15161,essential,key_10594
key_15161,essential,key_11123
key_15161,essential,key_11887
key_15161,essential,key_12281
key_15161,essential,key_12403
key_15161,essential,key_13428
key_15161,optional,key_2217
key_15161,optional,key_2837
key_15161,optional,key_4723
key_15161,optional,key_4786
key_15161,optional,key_5559
key_15161,optional,key_5730
key_15161,optional,key_6761
key_15161,optional,key_6896
key_15161,optional,key_7780
key_15161,optional,key_8923
key_15161,optional,key_9839
key_15161,optional,key_10223
key_15161,optional,key_13333
key_15161,optional,key_1509
key_15161,optional,key_2665
key_15161,optional,key_2945
key_15161,optional,key_3041
key_15161,optional,key_3362
key_15161,optional,key_3516
key_15161,optional,key_3851
key_15161,optional,key_4220
key_15161,optional,key_5018
key_15161,optional,key_5752
key_15161,optional,key_6954
key_15161,optional,key_7136
key_15161,optional,key_7396
key_15161,optional,key_9298
key_15161,optional,key_12839
key_15162,essential,key_14765
key_15162,essential,key_5694
key_15162,essential,key_6590
key_15162,essential,key_7375
key_15162,essential,key_7384
key_15162,essential,key_9328
key_15162,essential,key_10485
key_15162,essential,key_10623
key_15162,essential,key_12016
key_15162,essential,key_12432
key_15162,essential,key_14009
key_15162,optional,key_8426
key_15162,optional,key_12341
key_15162,optional,key_15067
key_15162,optional,key_8639
key_15162,optional,key_10065
key_15162,optional,key_14195
key_15163,essential,key_7675
key_15163,essential,key_1596
key_15163,essential,key_2224
key_15163,essential,key_4102
key_15163,essential,key_5013
key_15163,essential,key_5308
key_15163,essential,key_6200
key_15163,essential,key_6792
key_15163,essential,key_7152
key_15163,essential,key_7699
key_15163,essential,key_9042
key_15163,essential,key_10070
key_15163,essential,key_10338
key_15163,essential,key_10929
key_15163,essential,key_11334
key_15163,essential,key_11579
key_15163,essential,key_12731
key_15163,essential,key_12855
key_15163,essential,key_14580
key_15163,optional,key_1579
key_15163,optional,key_7135
key_15163,optional,key_7588
key_15163,optional,key_8019
key_15163,optional,key_10308
key_15163,optional,key_14128
key_15163,optional,key_14659
key_15163,optional,key_2764
key_15163,optional,key_3036
key_15163,optional,key_3130
key_15163,optional,key_3498
key_15163,optional,key_4115
key_15163,optional,key_4288
key_15163,optional,key_4352
key_15163,optional,key_7409
key_15163,optional,key_7845
key_15163,optional,key_9628
key_15163,optional,key_11227
key_15163,optional,key_11506
key_15163,optional,key_12480
key_15163,optional,key_13861
key_15163,optional,key_14238
key_15164,essential,key_2600
key_15164,essential,key_3446
key_15164,essential,key_3500
key_15164,essential,key_3848
key_15164,essential,key_5597
key_15164,essential,key_5663
key_15164,essential,key_5750
