ORIGINURI,ID,UUIDHISTORY,CODE,PREFERREDLABEL,ALTLABELS,DESCRIPTION
http://data.europa.eu/esco/isco/C0,key_18163,"de1a6d12-8f13-493e-9d86-6735d910b6ae
a022b2c3-d61f-4cfc-a972-ed2c411acbbf",0,Professions militaires,,
http://data.europa.eu/esco/isco/C01,key_18164,"1a8417ed-e30c-4a68-ace9-102f3d55208b
aed1aad2-3650-46ff-b368-7ff212b5e27e",01,Officiers des forces armées,,
http://data.europa.eu/esco/isco/C011,key_18165,"de8e3523-37eb-4845-a33f-342a0321c116
87f69026-f3f6-4b38-b581-c5e69d374d5c",011,Officiers des forces armées,,
http://data.europa.eu/esco/isco/C0110,key_18166,"195580ad-cb37-4d55-baa4-c99f7553317b
3dcf1593-d1b4-43ac-a6ad-8ac56a54a372",0110,Officiers des forces armées,,
http://data.europa.eu/esco/isco/C02,key_18167,"425b3c96-734a-434f-9e4c-d2002c79d316
1c4682e7-f514-4913-b2c5-5c5e3e9756ba",02,Sous-officiers des forces armées,,
http://data.europa.eu/esco/isco/C021,key_18168,"136ede0b-988b-49ad-8bee-28a8254757d4
6f12b9a7-a004-49c8-a2bc-9c3cc6a458ca",021,Sous-officiers des forces armées,,
http://data.europa.eu/esco/isco/C0210,key_18169,"0ead921b-9918-4e5c-9e25-ccbd651053df
b62248ba-3316-48e6-95f3-e211f5f9d31d",0210,Sous-officiers des forces armées,,
http://data.europa.eu/esco/isco/C03,key_18170,"4ca62892-8105-485c-a542-d8c355a57558
580bee07-2ada-4b7d-83ca-7b8a48804b37",03,Autres membres des forces armées,,
http://data.europa.eu/esco/isco/C031,key_18171,"0855bc5e-fd7f-44e1-b646-8af0ff8d8aeb
99428841-5aa7-431d-a3c0-c6882552f5ea",031,Autres membres des forces armées,,
http://data.europa.eu/esco/isco/C0310,key_18172,"23847a71-051d-422d-9999-4201e901bd36
a9ff6a48-149a-49b7-99bc-b2f308826882",0310,Autres membres des forces armées,,
http://data.europa.eu/esco/isco/C1,key_18173,"6afb7b42-283f-4087-9ebe-b8a2c5774ce3
cf50c272-bb01-4172-83e1-3120cad57fcb",1,"Directeurs, cadres de direction et gérants",,
http://data.europa.eu/esco/isco/C11,key_18174,"355686dc-7ec9-4548-b09c-ec359a68bdb3
c9b4bf11-0073-4ae1-86b8-a5a25cc7f79c",11,"Directeurs généraux, cadres supérieurs et membres de l’exécutif et des corps législatifs",,
http://data.europa.eu/esco/isco/C111,key_18175,"6b55be3d-253c-4a33-b092-6025e62d053a
dfa034e8-38f8-40de-bc94-d4c4ac8fcb5e",111,Membres des corps législatifs et cadres supérieurs de l’administration publique,,
