ORIGINURI,ID,UUIDHISTORY,ISCOGROUPCODE,CODE,PREFERREDLABEL,ALTLABELS,DESCRIPTION,DEFINITION,SCOPENOTE,REGULATEDPROFESSIONNOTE,OCCUPATIONTYPE,ISLOCALIZED
http://data.europa.eu/esco/occupation/00030d09-2b3a-4efd-87cc-c4ea39d27c34,key_20422,"abdc9a01-5c3a-45f4-8483-ab3bfc055dc8
496cbc3a-26df-4c33-aafa-3bd1ddc4f800
fe94c2b1-ae7e-4754-81fa-6461df03366f",2654,2654.1.7,directeur technique/directrice technique,"régisseuse
régisseur
directrice technique
régisseur/régisseuse
directeur technique","Les directeurs techniques/directrices techniques donnent corps aux visions artistiques des créateurs dans le respect de contraintes techniques. Ils/elles coordonnent les opérations des différentes unités de production, telles que la scène, les costumes, le son, l’éclairage et le maquillage. Ils/elles adaptent le prototype et étudient la faisabilité, la mise en œuvre, l’exploitation et le suivi technique du projet artistique. Ils/elles sont également responsables du matériel scénique et de l’équipement technique.",,,http://data.europa.eu/esco/regulated-professions/unregulated,escooccupation,false
http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84,key_20423,"a8a54977-1c07-4c73-aad7-e364f3c7bc06
c1c50f0c-9d6d-4be8-a188-5b079450f3f1
d9e2138b-1ad7-43f1-854d-c3092312d44c",8121,8121.4,opérateur de tréfilerie/opératrice de tréfilerie,"opérateur de tréfilerie
opératrice de tréfilerie","Les opérateurs de tréfilerie installent et font fonctionner des machines à tréfiler (appelées «bancs de tréfilage» ou «tréfileuses») pour les métaux ferreux et non ferreux destinés à la production de fils, de barres, de conduits, de profilés creux et de tuyaux rigides de forme spécifique, en réduisant la section transversale et en étirant la matière à travailler au moyen de diverses matrices à emboutir.",,,http://data.europa.eu/esco/regulated-professions/unregulated,escooccupation,false
http://data.europa.eu/esco/occupation/0019b951-c699-4191-8208-9822882d150c,key_20424,"767a6ac6-2fea-496e-ac26-cc7371670ff9
622279dc-35f4-43df-adc3-87688a2cbdda
6f48ed49-a236-466c-aabc-89a46ecf6989",7543,7543.10.3,contrôleur qualité des instruments de précision/contrôleuse qualité des instruments de précision,"contrôleuse qualité des instruments de précision
contrôleur qualité des instruments de précision","Les contrôleurs qualité des instruments de précision veillent à ce que les dispositifs de précision, tels que les micromètres et les jauges, fonctionnent conformément aux spécifications de conception. Ils peuvent adapter les dispositions de précision et leurs composants en cas de défaut quelconque.",,,http://data.europa.eu/esco/regulated-professions/unregulated,escooccupation,false
http://data.europa.eu/esco/occupation/0022f466-426c-41a4-ac96-a235c945cf97,key_20425,"cf23d2f6-0bd2-4590-914b-8fd52fd518db
11db2743-6aad-4da6-9666-fc182b71499b
700e34ed-8753-41e3-92ec-065fe539cf5a",3155,3155.1,technicien de la sécurité du trafic aérien/technicienne de la sécurité du trafic aérien,"technicienne de la sécurité du trafic aérien
technicien de la sécurité du trafic aérien","Les techniciens de la sécurité aérienne apportent un soutien technique en ce qui concerne la sécurité des systèmes de contrôle du trafic aérien et de navigation. Ils conçoivent, maintiennent, installent et exploitent ces systèmes à la fois à l’aéroport et à bord de l’avion conformément à la réglementation.",,,http://data.europa.eu/esco/regulated-professions/unregulated,escooccupation,false
http://data.europa.eu/esco/occupation/002da35b-7808-43f3-83bf-63596b8b351f,key_20426,"abfe6c7e-90d1-4dd4-845f-9b0742a3f22e
7b3cb2ee-08a0-4bce-93a1-9601791d6d53
1289f803-dbe8-4af0-a14e-81cd3cee5175",2431,2431.9,gestionnaire de recettes dans le secteur Horeca,"responsable des revenus hôteliers
yield manager
gestionnaire des revenus hôteliers","Les gestionnaires de recettes dans le secteur Horeca optimisent les recettes générées par les installations telles que les hôtels, les centres de vacances et le camping, en analysant les tendances et la concurrence. Ils aident les responsables de l’établissement dans les décisions stratégiques. Ils sont chargés d’analyser et d’optimiser le potentiel financier des installations et de gérer le personnel correspondant.",,,http://data.europa.eu/esco/regulated-professions/unregulated,escooccupation,false
http://data.europa.eu/esco/occupation/0044c991-c26f-4261-a213-4bd1c0564a4c,key_20427,"d3c95d43-c314-41e9-b24e-de89a3f31aef
c1a1ef20-c996-40f3-a79a-d782afd83581
aeb55362-f01b-43fe-9bd3-e26c4f004fa4",3212,3212.2,assistant de laboratoire médical/assistante de laboratoire médical,"aide-laborantine d'analyses médicales
aide-laborantin d'analyses médicales","Les assistants de laboratoire médical travaillent sous la supervision du scientifique de biologie médicale et exécutent des procédures de base en laboratoire. Ils travaillent au traitement préalable à l’analyse d’échantillons tels que le contrôle des détails des échantillons reçus pour l’analyse, le maintien des analyseurs, des réactifs de chargement et des spécimens d’emballage. Ils effectuent également des tâches de bureau telles que la surveillance du niveau des stocks de réactifs utilisés pour l’analyse.",,,http://data.europa.eu/esco/regulated-professions/unregulated,escooccupation,false
http://data.europa.eu/esco/occupation/00634fc4-802a-461b-8af0-499273756f99,key_20428,"965e1e41-178d-4e3d-ba9c-c2a3f24acf2d
609ab278-fdfb-4561-a669-8b039229d6f6
25756475-ed1e-411c-b95f-d7e6145f56cd",3116,3116.1.1,technicien de laboratoire asphaltes/technicienne de laboratoire asphaltes,"technicienne de laboratoire asphaltes
technicien de laboratoire asphaltes
technicien de laboratoire bitumes
technicienne de laboratoire bitumes","Les techniciens de laboratoire de l’asphalte obtiennent l’asphalte et les inspections des matières premières qui s’y rapportent et les essais en laboratoire, ce qui garantit une qualité élevée des produits. Ils participent également à l’élaboration de résolutions sur des questions techniques sur les chantiers de construction.",,,http://data.europa.eu/esco/regulated-professions/unregulated,escooccupation,false
http://data.europa.eu/esco/occupation/00674f21-2f8f-4a41-9896-133f7cbe2a6e,key_20429,"9aa72931-aa8b-4f7d-89b2-331b91da17a4
b401be0a-4595-425c-beae-95da79ef576b
38e2bf3a-e1d4-431e-ac17-5e0da7acba63",5312,5312.2,assistant pédagogique en école élémentaire/assistante pédagogique en école élémentaire,"assistante pédagogique en école élémentaire
assistant pédagogique en école élémentaire","Les assistants/assistantes pédagogiques en école élémentaire fournissent un soutien pédagogique et pratique aux instituteurs en école primaire. Ils/Elles donnent des cours de soutien aux élèves nécessitant une attention particulière et préparent des contenus pédagogiques. Ils/Elles effectuent également des tâches administratives, suivent les progrès et le comportement des élèves et surveillent les élèves en l’absence ou en présence de l’enseignant principal.",,,http://data.europa.eu/esco/regulated-professions/unregulated,escooccupation,false
http://data.europa.eu/esco/occupation/006cc1f9-2841-41c3-991a-dc3f2f3bd533,key_20430,"4e80eec0-4e20-4011-8c85-7c33a4d317a9
f0c9fd9f-a3d4-4304-9a82-6ab4c2ea66ba
c1b310ea-bb8a-46d5-b2f6-8bd5e6e380ca",2264,2264.2,physiothérapeute,"masseur kinésithérapeute/masseuse kinésithérapeute
masseuse kinésithérapeute
masseur kinésithérapeute","Les physiothérapeutes sont des professionnels de la santé indépendants qui sont responsables du développement, du maintien ou du rétablissement de la fonction motrice et du mouvement pendant toute la durée de vie, selon une pratique fondée sur des données probantes. Ils/elles soulagent la douleur et traitent ou préviennent les conditions physiques associées à des lésions, maladies ou autres déficiences. Les physiothérapeutes autorisent les patients et leurs soignants à gérer la maladie en dehors des milieux cliniques. Ils/elles travaillent dans leur champ d’exercice et dans le cadre de leur code de conduite professionnel. ",,,http://data.europa.eu/esco/regulated-professions/unregulated,escooccupation,false
http://data.europa.eu/esco/occupation/00747307-6341-4266-a061-25416f7c6a96,key_20431,"89709e4b-fe3c-4e87-bdb1-c6e6f8a423e6
62b7d32c-406b-4dca-8fc6-489b57fd0221
bf9baa02-f491-4fc7-9220-ff4268787881",2310,2310.1.30,professeur de théâtre/professeure de théâtre,"professeur d’art dramatique
professeure d’art dramatique
professeur de théâtre
professeure de théâtre
professeur d’art dramatique/professeure d’art dramatique","Les professeurs de théâtre/professeures de théâtre dispensent aux étudiants des cours de théâtre théoriques et, principalement, fondés sur la pratique, dans un théâtre spécialisé, une école d’art dramatique ou un conservatoire à un niveau d’enseignement supérieur. Ils/elles dispensent des cours théoriques pour renforcer les compétences pratiques et les techniques que les étudiants doivent ensuite maîtriser au théâtre. Les professeurs de théâtre/professeures de théâtre suivent les progrès des étudiants, les aident individuellement si nécessaire, et évaluent leurs connaissances et leur pratique théâtrale par des devoirs, des épreuves et des examens.",,,http://data.europa.eu/esco/regulated-professions/unregulated,escooccupation,false
