ORIGINURI,ID,UUIDHISTORY,CODE,PREFERREDLABEL,ALTLABELS,DESCRIPTION,SCOPENOTE
http://data.europa.eu/esco/isced-f/00,key_18782,"861ea544-2a81-4dbf-bc06-fd2c762dce93
edc95554-932f-4530-8f74-ddee1219b058
5c5bdafe-3e3e-4b08-aba7-05f975080dfd",,programmes et certifications génériques,,,
http://data.europa.eu/esco/isced-f/000,key_18783,"473fa903-c545-4b17-8205-0cf11fa1de3f
2dc9a064-d3ce-4356-a312-98aa0f87f398
81698b1c-2323-4057-9a53-dc9b55c84070",,programmes et certifications génériques non définis,,,
http://data.europa.eu/esco/isced-f/0000,key_18784,"f6b23fb6-476b-47f5-958e-70d85b6788c1
6de1fcaf-d158-4aa7-b95e-f646c8577d99
76140d51-e9e1-4e41-8009-f4a8825a14fa",,programmes et certifications génériques non définis,,,
http://data.europa.eu/esco/isced-f/001,key_18785,"ba7dea2b-d8e1-428a-903f-a8f8ac61a8cb
41e7e6fc-7d47-42b5-bacd-b8a488331f19
1ce7dd89-520c-4696-9272-789471b91adf",,programmes et certifications de base,,,
http://data.europa.eu/esco/isced-f/0011,key_18786,"1d5ef723-87ab-4886-9a2f-ff542c6f6350
18a2ed9e-58bf-4767-85d5-d793a6f02e9c
7a0ee221-b7f9-4de5-bdf7-efa1362e07bc",,programmes et certifications de base,,,
http://data.europa.eu/esco/isced-f/002,key_18787,"f3347e08-eea3-408c-bc5c-714b645b1447
a8491603-25c3-471b-babd-adb2c426841a
0e62a8ba-0bcd-4ef4-9a09-efa4d581be34",,compétences en lecture et en calcul,,,
http://data.europa.eu/esco/isced-f/0021,key_18788,"d94713aa-0284-4e3e-adb5-ccc798517216
ee983cce-d8df-4d9c-bb9d-73b98cac7c6c
46e7933c-7c66-4cc4-bebc-e38900fdbb60",,alphabétisation et apprentissage du calcul,,,
http://data.europa.eu/esco/isced-f/003,key_18789,"bbc120f8-e476-4086-85b2-7d61b2fbe0f6
b4eea9e6-4489-4bec-a751-badb8818fe70
a1b17da1-9ac3-4955-862c-3287c65d5e4a",,compétences personnelles,,,
http://data.europa.eu/esco/isced-f/0031,key_18790,"0b4bf9d0-6e9b-4069-811d-1fd4016112d0
2d079513-d015-45bb-b7f6-d50ba1902ef9
c3ce1b7b-e769-4ee8-9cf1-a16aabae13fd",,compétences et développement personnels,,,
http://data.europa.eu/esco/isced-f/009,key_18791,"17ca456b-3aa4-49e7-bb7b-895d9478e6d4
81d52f16-85bd-44fa-8d12-e9b8d2b73e99
fbb03dd0-63bb-4b49-8eb6-1309c64a7f18",,programmes et certifications génériques non classé ailleurs,,,
