ORIGINURI,ID,UUIDHISTORY,CODE,PREFERREDLABEL,ALTLABELS,DESCRIPTION,SCOPENOTE
http://data.europa.eu/esco/isced-f/00,key_18782,"edc95554-932f-4530-8f74-ddee1219b058
5c5bdafe-3e3e-4b08-aba7-05f975080dfd",,generic programmes and qualifications,,"Generic programmes and qualifications are those providing fundamental and personal skills education which cover a broad range of subjects and do not emphasise or specialise in a particular broad or narrow field.
This broad field should not be used as a residual category. Programmes and qualifications with a specific subject emphasis should be classified in broad fields 01 to 10. In particular, education at the tertiary level should only by way of exception be classified here.",
http://data.europa.eu/esco/isced-f/000,key_18783,"2dc9a064-d3ce-4356-a312-98aa0f87f398
81698b1c-2323-4057-9a53-dc9b55c84070",,generic programmes and qualifications not further defined,,,
http://data.europa.eu/esco/isced-f/0000,key_18784,"6de1fcaf-d158-4aa7-b95e-f646c8577d99
76140d51-e9e1-4e41-8009-f4a8825a14fa",,generic programmes and qualifications not further defined,,,
http://data.europa.eu/esco/isced-f/001,key_18785,"41e7e6fc-7d47-42b5-bacd-b8a488331f19
1ce7dd89-520c-4696-9272-789471b91adf",,basic programmes and qualifications,,,
http://data.europa.eu/esco/isced-f/0011,key_18786,"18a2ed9e-58bf-4767-85d5-d793a6f02e9c
7a0ee221-b7f9-4de5-bdf7-efa1362e07bc",,basic programmes and qualifications,,"Basic programmes and qualifications are designed to provide participants with fundamental skills in reading, writing and arithmetic along with an elementary understanding of other subjects such as history, geography, natural science, social science, art and music, and in some cases religious instruction. These programmes and qualifications are normally offered at primary and lower secondary levels. Broad, non-specialised programmes at upper secondary level are also classified here even if there is some concentration on, for example, humanities, social science, natural science etc. Vocational programmes and qualifications are included here only by way of exception.
Programmes and qualifications with the following main subject content are classified here:
Basic programmes and qualifications
Broad, generic (non-specialised) programmes and qualifications
General programmes and qualifications with no specific subject emphasis
Programmes and qualifications at primary level

=== Inclusions
Basic programmes and qualifications at upper secondary level (in some countries at lower secondary level) with some emphasis on e.g. humanities, social sciences or natural sciences but still covering other fields of knowledge are included in this detailed field. In some countries such programmes or qualifications are offered on a modular basis and should also be classified here.

=== Exclusions
Programmes that are considered as general in the programme orientation sense (non-vocational) but have a clear emphasis on a detailed, narrow or broad field are excluded from this detailed field and included in one of the broad fields 01-10, depending on the subject covered.",
http://data.europa.eu/esco/isced-f/002,key_18787,"a8491603-25c3-471b-babd-adb2c426841a
0e62a8ba-0bcd-4ef4-9a09-efa4d581be34",,literacy and numeracy,,,
http://data.europa.eu/esco/isced-f/0021,key_18788,"ee983cce-d8df-4d9c-bb9d-73b98cac7c6c
46e7933c-7c66-4cc4-bebc-e38900fdbb60",,literacy and numeracy,,"Literacy and numeracy are programmes or qualifications arranged mainly for adults, designed to teach fundamental skills in reading, writing and arithmetic. The typical age range of participants can be used to distinguish between detailed field 0011 'Basic programmes and qualifications' and this detailed field.
Programmes and qualifications with the following main content are classified here:
Basic remedial programmes for youth or adults
Literacy
Numeracy",
http://data.europa.eu/esco/isced-f/003,key_18789,"b4eea9e6-4489-4bec-a751-badb8818fe70
a1b17da1-9ac3-4955-862c-3287c65d5e4a",,personal skills and development,,,
http://data.europa.eu/esco/isced-f/0031,key_18790,"2d079513-d015-45bb-b7f6-d50ba1902ef9
c3ce1b7b-e769-4ee8-9cf1-a16aabae13fd",,personal skills and development,,"Personal skills are defined by reference to the effects on the individual's capacity (mental, social etc.). This detailed field covers personal skills programmes not included in 0011 'Basic programmes and qualifications' or 0021 'Literacy and numeracy', giving key competencies and transferable skills.
Programmes and qualifications with the following main content are classified here:
Argumentation and presentation
Assertiveness training
Communication skills
Co-operation
Development of behavioural capacities
Development of mental skills
Job-seeking programmes
Parenting courses
Public speaking
Self-esteem skills
Social competence
Time management

=== Inclusions
Education and training in leadership in the context of personal development is included here.
Education and training related to the work place or to work assignments is included in this detailed field if it has more to do with personal development than work development. Personal skills courses can be taught at the workplace, but still be classified here based on their content.
Programmes for people with special needs on how to cope with their daily life are included here

=== Exclusions
Study of leadership in the context of management is excluded from this group and included in detailed field 0413 'Management and administration'.",
http://data.europa.eu/esco/isced-f/009,key_18791,"81d52f16-85bd-44fa-8d12-e9b8d2b73e99
fbb03dd0-63bb-4b49-8eb6-1309c64a7f18",,generic programmes and qualifications not elsewhere classified,,,
http://data.europa.eu/esco/isced-f/0099,key_18792,"8a70d879-5947-45d0-874a-22256881e2f6
f57cec58-5b81-44fc-9324-541848d91dc2",,generic programmes and qualifications not elsewhere classified,,,
http://data.europa.eu/esco/isced-f/01,key_18793,"35dbfd14-e24e-472f-8290-064d94d314f3
a5f13512-a021-4c3d-be3b-ed7c9f66111b",,education,,,
http://data.europa.eu/esco/isced-f/011,key_18794,"62b1d85f-14b1-40df-bb4d-4416d181017c
45ff4845-43ea-4a54-93a6-0176241bad74",,education,,,
http://data.europa.eu/esco/isced-f/0110,key_18795,"46a3dcb2-276e-45ad-aa4d-fa4334a8719f
aa4971cf-72c5-4a0a-ad64-c1876b496ac4",,education not further defined,,,
http://data.europa.eu/esco/isced-f/0111,key_18796,"a1034f1e-6a75-40fe-8b50-450dd9d22db6
a5060df3-1939-41ee-9b87-f0205a4d36e8",,education science,,"Education science is the study of the learning process and the theories, methods and techniques of imparting knowledge to others.
Programmes and qualifications with the following main content are classified here:
Curriculum studies
Didactics
Educational assessment, testing and measurement
Educational evaluation and research
Paedagogical sciences

=== Exclusions
Teacher training programmes which combine education science with the practice of teaching are excluded from this detailed field and included in one of the detailed fields for teacher training (0112-0114).",
http://data.europa.eu/esco/isced-f/0112,key_18797,"ca692853-3ac1-4a81-8d83-92851df7f6d1
29545193-9cf6-4872-8261-a5b4b232ac07",,training for pre-school teachers,,"Training for pre-school teachers is the study of the theories, methods and practice of teaching very young children up to 7 years of age within formal school settings at pre-primary or early childhood educational development levels.
Programmes and qualifications with the following main content are classified here:
Early childhood teaching (within formal school settings)
Pre-primary teacher training

=== Exclusions
Training in caring for children outside formal school settings is excluded from this detailed field and included in detailed field 0922 'Child care and youth services'.",
